studentName,subject,marks,examYear
Ethel Steuber,History,40,2015
Webster Muller,History,77,2008
Felton Gibson,Maths,40,2006
Anne Haley,History,70,2005
Liam Jast,Maths,92,2005
Bradly Gleason,English,45,2005
Lawrence Beier,History,87,2001
Mohamed Bosco,Science,18,2014
Garnet Volkman,Maths,,2002
Ebba Jerde,History,4,
barry jacobs,History,20,2011
Garnet Volkman,Maths,85,
blake   streich,Maths,86,2020
Vincent Reinger,History,65,2020
Russ Ferry,English,25,2014
Daisha Hartmann,Maths,28,2013
NiLS medhurst,English,,
AnneTta Heaney-ondricka,English,44,2017
Lawrence Larson,Maths,6,2014
Renee Pfeffer,Maths,74,2008
Vince Murazik,History,73,2020
Elody   Bechtelar ,english ,95,
Elda Luettgen,Science,41,2013
Jadon   Leannon  , Science,91,2019
Lawrence lArson,Maths,6,2014
Nora Kuhic,Maths,49,2019
Maximillian Pouros,English,97,2012
Ethel Steuber,History,40,2015
MurPhy PARker,   HIStory,44,2009
Maribel Lind,Maths,29,2020
Heloise Lueilwitz,English,90,2001
Stephania Donnelly-King,Science,53,2020
Jeramy Schmidt,English,75,2009
Linnea Bogan,History,73,2019
Alivia    Smith,English   ,80,      2005
Christelle Bauch,English,37,2016
Darrick Gleason-Muller,Science,22,2017
Pearl Wolf,English,58,2009
Christina Skiles,Maths,97,2012
Audra VonRueden,English,1,2008
Bell Herman,English,64,2013
Freeman Osinski,History,40,2013
Sister Lynch,Science,27,2007
Alana    Reichert.  ,HiStory,34,     2019
Mariela Bednar,Maths,57,2002
Lesley Lakin,Maths,80,2001
Cassidy Torp,Maths,88,2005
Stefan Borer,English,72,2003
Caleigh   ,MaTHS,89    ,2017
Ethel Steuber,History,,
Joan Koch,English,59,2019
Frederik Ziemann,Maths,83,2002
Ashton Bogisich,History,20,2005
Brayan Senger,Science,65,2016
Kirsten Beier-Hane,Science,61,2010
Norma Effertz,English,97,2014
Gianni Ferry,Maths,30,2017
Brayan   ,Science,65,2016
Pink Heller,Science,48,2008
Madelynn   Torphy,           History,61,2013
Nicklaus Casper,Science,51,2012
Saige Hudson,English,86,2014
Russ Gutkowski,    Science,78,2002
Hilma Goyette,Science,20,2018
Karley Langosh,Science,71,2004
Brenna Conn,English,100,2001
Elliott Marquardt,English,21,2007
Kade Purdy,English,4,2017
Amina Nikolaus,English,58,2015
Bertha McClure,English,41,2010
Brent Senger,English,30,2013
Hazel Botsford,Maths,34,2018
Terrell Bahringer,English,93,2018
Frederique Brakus,Maths,44,2013
Dayne Rowe,History,70,2018
Nova Heller,English,30,2005
Paige Runolfsdottir-Kovacek,English,10,2006
